RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	Age	DaysSinceRun	
"19:30:00"	"2024-07-25"	"Yarmouth"	"Tropical Island"	"4.50"	"5.57"	"Handicap"	"10"	"11"	"Orr, Oisin"	"Fahey, R A"	"3"	"14"
"15:05:00"	"2024-07-22"	"Ayr"	"Strong Warrior"	"1.20"	"2.34"	"Maiden"	"1"	"4"	"Orr, Oisin"	"Fahey, R A"	"2"	"No Prev"
"17:05:00"	"2024-06-28"	"Doncaster"	"Glistening Nights (FR)"	"3.00"	"4.04"	"Handicap"	"1"	"11"	"Garritty, Billy"	"Fahey, R A"	"3"	"25"
"16:30:00"	"2024-06-24"	"Thirsk"	"Beechwood Star (IRE)"	"3.50"	"5.2"	"Handicap"	"6"	"9"	"Orr, Oisin"	"Fahey, R A"	"3"	"13"
"16:00:00"	"2024-06-24"	"Thirsk"	"Reidh (IRE)"	"2.50"	"3.6"	"Handicap"	"1"	"12"	"Orr, Oisin"	"Fahey, R A"	"4"	"13"
"14:50:00"	"2024-06-19"	"Hamilton"	"Gold Black (FR)"	"2.00"	"3.43"	"Maiden"	"4"	"8"	"Orr, Oisin"	"Fahey, R A"	"2"	"No Prev"
"14:15:00"	"2024-06-14"	"Chester"	"Quiet Resolve (IRE)"	"2.00"	"3.21"	"Handicap"	"10"	"12"	"Nolan, D"	"Fahey, R A"	"3"	"20"
"13:40:00"	"2024-06-14"	"Chester"	"Outrun The Storm (IRE)"	"2.25"	"3.33"	"Handicap"	"1"	"8"	"Cagney, Eireann"	"Fahey, R A"	"6"	"26"
"21:00:00"	"2024-06-11"	"Wetherby"	"Life On The Rocks (IRE)"	"2.00"	"3.1"	"Handicap"	"1"	"8"	"Pyle, William"	"Fahey, R A"	"6"	"8"
"17:25:00"	"2024-06-11"	"Wetherby"	"Yes Im Mali"	"2.25"	"4.01"	"Maiden"	"1"	"10"	"Orr, Oisin"	"Fahey, R A"	"2"	"No Prev"
"14:35:00"	"2024-06-06"	"Haydock"	"Veydari (IRE)"	"2.00"	"3.29"	"Novices"	"6"	"15"	"Doyle, James"	"Fahey, R A"	"2"	"No Prev"
"14:25:00"	"2024-06-06"	"Hamilton"	"Komorkis (IRE)"	"2.25"	"3.6"	"Maiden"	"3"	"7"	"Orr, Oisin"	"Fahey, R A"	"2"	"No Prev"
"19:30:00"	"2024-06-03"	"Wetherby"	"Glistening Nights (FR)"	"0.73"	"1.8"	"Handicap"	"1"	"8"	"Orr, Oisin"	"Fahey, R A"	"3"	"10"
"16:15:00"	"2024-06-03"	"Ayr"	"Life On The Rocks (IRE)"	"1.25"	"2.43"	"Handicap"	"1"	"7"	"Garritty, Billy"	"Fahey, R A"	"6"	"7"
"18:40:00"	"2024-06-02"	"Hamilton"	"My Little Queens (IRE)"	"3.33"	"4.78"	"Handicap"	"5"	"14"	"Orr, Oisin"	"Fahey, R A"	"6"	"21"
"15:40:00"	"2024-06-02"	"Hamilton"	"Catalyse (IRE)"	"1.25"	"2.32"	"Novices"	"1"	"6"	"Orr, Oisin"	"Fahey, R A"	"2"	"No Prev"
"15:05:00"	"2024-05-28"	"Redcar"	"Lovely Spirit (IRE)"	"3.00"	"4.6"	"Maiden"	"3"	"10"	"Orr, Oisin"	"Fahey, R A"	"2"	"No Prev"
"17:10:00"	"2024-05-27"	"Redcar"	"Life On The Rocks (IRE)"	"1.38"	"2.42"	"Handicap"	"1"	"7"	"Sexton, Ryan"	"Fahey, R A"	"6"	"17"
"16:20:00"	"2024-05-18"	"Thirsk"	"Brooklyn Nine Nine (IRE)"	"3.33"	"4.66"	"Handicap"	"4"	"7"	"Robinson, Ben"	"Fahey, R A"	"4"	"183"
"15:50:00"	"2024-05-05"	"Hamilton"	"My Little Queens (IRE)"	"1.50"	"2.56"	"Handicap"	"1"	"8"	"Garritty, Jack"	"Fahey, R A"	"6"	"14"
"17:05:00"	"2024-04-25"	"Beverley"	"My Harrison George (IRE)"	"2.50"	"4.2"	"Handicap"	"7"	"7"	"Orr, Oisin"	"Fahey, R A"	"4"	"143"
"13:52:00"	"2024-04-22"	"Pontefract"	"Almanjoor (IRE)"	"2.50"	"4.1"	"Novices"	"10"	"11"	"Orr, Oisin"	"Fahey, R A"	"2"	"No Prev"
