RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	Distance	RaceClass	DaysSinceRun	LR_Position	LR_NumberRunners	
"14:40:00"	"2026-03-10"	"Cheltenham"	"Madness Delle (FR)"	"18.00"	"25"	"Handicap Hurdle"	"14"	"22"	"Mullins, D E"	"Mullins, W P"	"2m.5f "	"1"	"24"	"1"	"10"
"14:40:00"	"2026-03-10"	"Cheltenham"	"Macktoad (FR)"	"80.00"	"200.04"	"Handicap Hurdle"	"16"	"22"	"Quinn, Caoilin"	"Moore, Gary and Josh"	"2m.5f "	"1"	"24"	"5"	"7"
"17:20:00"	"2025-03-14"	"Cheltenham"	"Taponthego (IRE)"	"8.00"	"11.62"	"Handicap Hurdle"	"4"	"24"	"OConnor, M P"	"Bromhead, Henry De"	"2m4.5f "	"2"	"22"	"3"	"5"
"17:20:00"	"2025-03-14"	"Cheltenham"	"Uncle Bert"	"50.00"	"91.48"	"Handicap Hurdle"	"9"	"24"	"Turner, James"	"Twiston-Davies, N A"	"2m4.5f "	"2"	"27"	"5"	"13"
"17:20:00"	"2025-03-14"	"Cheltenham"	"Nurse Susan (FR)"	"16.00"	"22.48"	"Handicap Hurdle"	"11"	"24"	"Durrell, Mr T"	"Skelton, Daniel"	"2m4.5f "	"2"	"418"	"1"	"10"
"17:20:00"	"2025-03-14"	"Cheltenham"	"Minella Sixo (IRE)"	"22.00"	"32.26"	"Handicap Hurdle"	"18"	"24"	"Coen, J"	"Elliott, Gordon"	"2m4.5f "	"2"	"27"	"F"	"13"
"17:20:00"	"2025-03-14"	"Cheltenham"	"Doyen Quest (IRE)"	"40.00"	"68.28"	"Handicap Hurdle"	"19"	"24"	"Atkins, Mr Harry"	"Skelton, Daniel"	"2m4.5f "	"2"	"20"	"7"	"12"
"17:20:00"	"2025-03-14"	"Cheltenham"	"No Questions Asked (IRE)"	"28.00"	"38.29"	"Handicap Hurdle"	"22"	"24"	"Pritchard, Mr Callum"	"Pauling, Ben"	"2m4.5f "	"2"	"23"	"1"	"10"
"17:20:00"	"2025-03-14"	"Cheltenham"	"Flash Collonges (FR)"	"150.00"	"623.03"	"Handicap Hurdle"	"PU"	"24"	"Hogan, Mr J"	"Leech, Mrs S"	"2m4.5f "	"2"	"321"	"PU"	"20"
"17:20:00"	"2025-03-14"	"Cheltenham"	"Wilde About Oscar (IRE)"	"150.00"	"566.02"	"Handicap Hurdle"	"PU"	"24"	"Johnston, Dylan"	"Leech, Mrs S"	"2m4.5f "	"2"	"727"	"10"	"13"
"14:00:00"	"2025-03-14"	"Cheltenham"	"Cracking Rhapsody (IRE)"	"20.00"	"21.53"	"Handicap Hurdle"	"7"	"16"	"Nichol, Craig"	"Whillans, Ewan"	"2m1f "	"1"	"13"	"1"	"18"
